#,TEAM,,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
,Titans,,324,342,1295,3.8,10,79,27:08
2,Jaguars,,331,442,1406,3.2,12,84,30:51
3,Cowboys,,260,413,1425,3.5,7,68,28:41
4,Patriots,,238,401,1434,3.6,10,91,30:53
5,Dolphins,,261,441,1452,3.3,11,82,31:41
6,Ravens,,281,448,1536,3.4,6,78,30:20
7,Broncos,,301,379,1605,4.2,11,77,26:15
8,Bills,,279,464,1606,3.5,11,92,30:27
9,49ers,,337,420,1690,4,13,99,29:21
10,Packers,,307,413,1701,4.1,10,91,29:20
11,Panthers,,304,434,1722,4,10,83,30:16
12,Steelers,,327,449,1741,3.9,14,89,29:24
13,Buccaneers,,264,451,1756,3.9,7,89,29:05
14,Seahawks,,327,456,1759,3.9,9,93,32:44
15,Lions,,379,447,1782,4,14,105,32:39
16,Bears,,346,449,1865,4.2,13,104,30:21
17,Vikings,,353,387,1879,4.9,22,94,27:08
18,Giants,,387,496,1908,3.8,12,102,33:53
19,Cardinals,,452,475,1915,4,17,120,31:38
20,Colts,,336,437,1980,4.5,19,117,30:36
21,Rams,,328,412,1980,4.8,9,92,28:19
22,Eagles,,287,461,2071,4.5,13,116,32:45
23,Browns,,322,457,2113,4.6,14,100,31:48
24,Commanders,,372,504,2217,4.4,20,122,31:24
25,Bengals,,384,461,2218,4.8,18,119,29:15
26,Chargers,,441,518,2218,4.3,12,124,32:28
27,Saints,,326,480,2241,4.7,12,109,30:57
28,Jets,,299,542,2294,4.2,17,134,33:52
29,Falcons,,422,499,2308,4.6,21,122,33:34
30,Chiefs,,332,453,2344,5.2,18,120,31:49
31,Texans,,380,533,2370,4.4,15,130,33:50
32,Raiders,,379,544,2510,4.6,21,127,33:51
