#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,Bills,,374,313,492,63.6,2867,5.8,9.2,22,16,157,36,217,81
2,Jaguars,,316,312,499,62.5,3113,6.2,10,17,11,162,37,241,82
3,Vikings,,341,315,503,62.6,3140,6.2,10,15,12,160,50,361,80
4,Cardinals,,425,342,506,67.6,3262,6.4,9.5,21,7,186,49,333,93
5,Ravens,,287,337,577,58.4,3360,5.8,10,21,12,174,43,291,78
6,Titans,,303,337,533,63.2,3471,6.5,10.3,21,11,182,39,248,86
7,Bears,,283,377,615,61.3,3515,5.7,9.3,22,27,186,50,339,71
8,Lions,,360,323,496,65.1,3599,7.3,11.1,29,7,191,43,298,100
9,Chargers,,329,351,548,64.1,3646,6.7,10.4,23,13,178,38,240,87
10,Steelers,,360,362,566,64,3697,6.5,10.2,27,8,200,52,347,93
11,49ers,,435,344,542,63.5,3732,6.9,10.8,35,2,195,37,227,104
12,Packers,,400,336,527,63.8,3752,7.1,11.2,30,7,199,44,322,98
13,Cowboys,,324,367,542,67.7,3755,6.9,10.2,22,9,193,39,229,94
14,Rams,,384,347,533,65.1,3780,7.1,10.9,31,18,185,41,326,91
15,Commanders,,359,362,537,67.4,3794,7.1,10.5,27,15,197,46,297,93
16,Colts,,344,384,542,70.8,3805,7,9.9,21,15,203,38,228,92
17,Seahawks,,347,355,546,65,3842,7,10.8,26,12,201,43,261,92
18,Panthers,,382,353,529,66.7,3847,7.3,10.9,32,13,185,35,215,98
19,Raiders,,467,299,480,62.3,3853,8,12.9,36,14,178,13,80,100
20,Broncos,,349,353,549,64.3,3929,7.2,11.1,26,17,197,44,311,88
21,Dolphins,,433,335,508,65.9,3932,7.7,11.7,31,21,195,31,209,92
22,Patriots,,325,370,605,61.2,3943,6.5,10.7,29,18,208,30,238,84
23,Giants,,412,362,560,64.6,4044,7.2,11.2,24,16,205,30,185,88
24,Jets,,441,367,582,63.1,4065,7,11.1,29,13,201,39,293,91
25,Browns,,392,393,626,62.8,4125,6.6,10.5,21,17,216,37,245,82
26,Buccaneers,,464,387,534,72.5,4151,7.8,10.7,34,9,209,38,232,109
27,Falcons,,423,398,585,68,4153,7.1,10.4,33,15,226,37,255,96
28,Texans,,316,385,594,64.8,4167,7,10.8,28,15,200,43,310,91
29,Saints,,353,384,573,67,4301,7.5,11.2,30,12,224,49,321,98
30,Eagles,,348,417,626,66.6,4308,6.9,10.3,22,10,215,44,311,91
31,Chiefs,,421,406,632,64.2,4374,6.9,10.8,30,15,247,52,347,90
32,Bengals,,455,389,584,66.6,4414,7.6,11.3,32,12,221,34,173,99
