#,TEAM,PTS/G,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
1,Ravens,28.4,483,541,2661,4.9,26,144,31:13
2,Bears,21.2,360,534,2399,4.5,16,137,32:58
3,49ers,28.9,491,499,2389,4.8,27,147,31:08
4,Cardinals,19.4,330,471,2365,5,17,127,29:18
5,Lions,27.1,461,500,2311,4.6,27,124,31:22
6,Dolphins,29.2,496,456,2308,5.1,27,113,30:10
7,Bills,26.5,451,512,2212,4.3,22,158,32:02
8,Eagles,25.5,433,510,2190,4.3,22,149,31:08
9,Falcons,18.9,321,522,2159,4.1,14,121,29:09
10,Colts,23.3,396,479,2059,4.3,19,113,29:28
11,Rams,23.8,404,477,2045,4.3,18,110,31:48
12,Browns,23.3,396,518,2017,3.9,15,121,32:19
13,Steelers,17.9,304,487,2010,4.1,16,115,30:39
14,Cowboys,29.9,509,468,1920,4.1,14,113,32:48
15,Packers,22.5,383,441,1905,4.3,10,101,30:43
16,Giants,15.6,266,454,1874,4.1,10,97,30:33
17,Titans,17.9,305,444,1846,4.2,16,103,30:52
18,Broncos,21,357,451,1810,4,8,116,30:31
19,Chiefs,21.8,371,417,1784,4.3,9,107,30:28
20,Panthers,13.9,236,445,1769,4,7,111,31:07
21,Saints,23.6,402,480,1742,3.6,13,112,31:10
22,Texans,22.2,377,444,1647,3.7,10,84,30:46
23,Jets,15.8,268,388,1647,4.2,7,77,29:09
24,Jaguars,22.2,377,453,1646,3.6,17,98,31:55
25,Chargers,20.4,346,431,1642,3.8,11,89,29:57
26,Patriots,13.9,236,415,1627,3.9,9,93,28:03
27,Commanders,19.4,329,359,1592,4.4,15,99,30:38
28,Seahawks,21.4,364,382,1580,4.1,11,93,27:54
29,Vikings,20.2,344,393,1553,4,7,79,29:16
30,Raiders,19.5,332,413,1542,3.7,11,83,29:34
31,Bengals,21.5,366,383,1527,4,12,90,31:57
32,Buccaneers,20.5,348,439,1509,3.4,8,79,29:25
