Start Year,End Year,Scaling,Regularization,Alpha,Features Removed,MSE,Accuracy,Model Name
2022,2023,False,ridge,0.4,False,84.6821750729838,73.59,model_2022_2023_unscaled_ridge_0.4_features_included
2022,2023,False,ridge,0.2,False,84.71974980624229,73.59,model_2022_2023_unscaled_ridge_0.2_features_included
2022,2023,False,,,False,84.77918973115796,73.59,model_2022_2023_unscaled_none__features_included
2022,2023,False,ridge,0.6,False,84.65516037393608,73.24,model_2022_2023_unscaled_ridge_0.6_features_included
2022,2023,False,ridge,1.0,False,84.6169289789125,72.89,model_2022_2023_unscaled_ridge_1.0_features_included
2022,2023,False,ridge,0.8,False,84.6341506324923,72.89,model_2022_2023_unscaled_ridge_0.8_features_included
2022,2023,False,lasso,0.2,False,82.44843952305911,72.54,model_2022_2023_unscaled_lasso_0.2_features_included
2022,2023,False,elasticnet,0.4,False,82.00760406781079,71.83,model_2022_2023_unscaled_elasticnet_0.4_features_included
2022,2023,False,elasticnet,0.2,False,82.7206577099744,71.83,model_2022_2023_unscaled_elasticnet_0.2_features_included
2014,2023,False,ridge,1.0,False,79.10987289281157,71.13,model_2014_2023_unscaled_ridge_1.0_features_included
2014,2023,False,ridge,0.8,False,79.11063766808,71.13,model_2014_2023_unscaled_ridge_0.8_features_included
2014,2023,False,ridge,0.6,False,79.11140573748229,71.13,model_2014_2023_unscaled_ridge_0.6_features_included
2014,2023,False,ridge,0.4,False,79.11217652874139,71.13,model_2014_2023_unscaled_ridge_0.4_features_included
2014,2023,False,ridge,0.2,False,79.11294934164853,71.13,model_2014_2023_unscaled_ridge_0.2_features_included
2014,2023,False,,,False,79.113723318901,71.13,model_2014_2023_unscaled_none__features_included
2022,2023,False,lasso,0.4,False,81.3655629796688,71.13,model_2022_2023_unscaled_lasso_0.4_features_included
2019,2023,False,ridge,1.0,False,71.62164842803327,70.42,model_2019_2023_unscaled_ridge_1.0_features_included
2019,2023,False,ridge,0.8,False,71.62601922240327,70.42,model_2019_2023_unscaled_ridge_0.8_features_included
2019,2023,False,ridge,0.6,False,71.6306199509482,70.42,model_2019_2023_unscaled_ridge_0.6_features_included
2019,2023,False,ridge,0.4,False,71.63547499622817,70.42,model_2019_2023_unscaled_ridge_0.4_features_included
2019,2023,False,ridge,0.2,False,71.64061246027293,70.42,model_2019_2023_unscaled_ridge_0.2_features_included
2019,2023,False,,,False,71.64606491736156,70.42,model_2019_2023_unscaled_none__features_included
2022,2023,False,elasticnet,0.6,False,81.55257881329347,70.42,model_2022_2023_unscaled_elasticnet_0.6_features_included
2019,2023,True,elasticnet,0.2,False,69.33979871724584,69.72,model_2019_2023_scaled_elasticnet_0.2_features_included
2019,2023,False,elasticnet,0.4,False,70.17859144840327,69.72,model_2019_2023_unscaled_elasticnet_0.4_features_included
2022,2023,False,elasticnet,0.8,False,81.25262034832875,69.72,model_2022_2023_unscaled_elasticnet_0.8_features_included
2022,2023,True,elasticnet,0.8,False,81.28122854542046,69.72,model_2022_2023_scaled_elasticnet_0.8_features_included
2023,2023,False,elasticnet,0.4,False,84.65272720410623,69.72,model_2023_2023_unscaled_elasticnet_0.4_features_included
2023,2023,False,lasso,0.2,False,85.31040176264833,69.72,model_2023_2023_unscaled_lasso_0.2_features_included
2019,2023,True,elasticnet,0.4,False,69.23811480113545,69.37,model_2019_2023_scaled_elasticnet_0.4_features_included
2014,2023,True,elasticnet,0.4,False,78.64504001424959,69.37,model_2014_2023_scaled_elasticnet_0.4_features_included
2014,2023,False,elasticnet,0.8,False,78.96331677970552,69.37,model_2014_2023_unscaled_elasticnet_0.8_features_included
2022,2023,False,lasso,0.6,False,80.8438953708578,69.37,model_2022_2023_unscaled_lasso_0.6_features_included
2022,2023,False,elasticnet,1.0,False,81.0394129730836,69.37,model_2022_2023_unscaled_elasticnet_1.0_features_included
2022,2023,True,elasticnet,1.0,False,81.57533090944462,69.37,model_2022_2023_scaled_elasticnet_1.0_features_included
2023,2023,False,elasticnet,1.0,False,83.13496724759476,69.37,model_2023_2023_unscaled_elasticnet_1.0_features_included
2023,2023,False,ridge,1.0,False,89.45282069493881,69.37,model_2023_2023_unscaled_ridge_1.0_features_included
2023,2023,False,ridge,0.6,False,90.17327719530438,69.37,model_2023_2023_unscaled_ridge_0.6_features_included
2023,2023,False,ridge,0.4,False,90.82262150181286,69.37,model_2023_2023_unscaled_ridge_0.4_features_included
2019,2023,True,elasticnet,0.8,False,69.35788002544683,69.01,model_2019_2023_scaled_elasticnet_0.8_features_included
2019,2023,True,elasticnet,1.0,False,69.58617413899512,69.01,model_2019_2023_scaled_elasticnet_1.0_features_included
2019,2023,False,elasticnet,0.2,False,70.43600941930951,69.01,model_2019_2023_unscaled_elasticnet_0.2_features_included
2014,2023,True,elasticnet,0.6,False,78.73180914636272,69.01,model_2014_2023_scaled_elasticnet_0.6_features_included
2014,2023,False,elasticnet,0.2,False,78.858344390098,69.01,model_2014_2023_unscaled_elasticnet_0.2_features_included
2014,2023,False,lasso,0.4,False,78.88347735649232,69.01,model_2014_2023_unscaled_lasso_0.4_features_included
2014,2023,False,lasso,0.2,False,78.89008401156619,69.01,model_2014_2023_unscaled_lasso_0.2_features_included
2014,2023,False,elasticnet,0.6,False,78.91154243522702,69.01,model_2014_2023_unscaled_elasticnet_0.6_features_included
2023,2023,False,lasso,0.4,False,83.74036817331458,69.01,model_2023_2023_unscaled_lasso_0.4_features_included
2023,2023,False,ridge,0.8,False,89.7537838756122,69.01,model_2023_2023_unscaled_ridge_0.8_features_included
2019,2023,True,elasticnet,0.6,False,69.24244317499267,68.66,model_2019_2023_scaled_elasticnet_0.6_features_included
2019,2023,False,lasso,0.2,False,70.2281289266776,68.66,model_2019_2023_unscaled_lasso_0.2_features_included
2014,2023,True,elasticnet,0.2,False,78.71023951516096,68.66,model_2014_2023_scaled_elasticnet_0.2_features_included
2014,2023,False,elasticnet,0.4,False,78.87842863787954,68.66,model_2014_2023_unscaled_elasticnet_0.4_features_included
2014,2023,True,elasticnet,0.8,False,78.94776581566133,68.66,model_2014_2023_scaled_elasticnet_0.8_features_included
2014,2023,True,elasticnet,1.0,False,79.2473082338654,68.66,model_2014_2023_scaled_elasticnet_1.0_features_included
