#,TEAM,,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
,Buccaneers,,196,259,510,50.8,2490,4.9,9.6,10,31,131,43,295,46
2,Colts,,313,288,468,61.5,2917,6.2,10.1,19,10,148,36,243,84
3,Packers,,328,287,531,54,2987,5.6,10.4,24,24,143,43,241,67
4,Panthers,,302,293,522,56.1,2993,5.7,10.2,18,17,155,52,336,71
5,Commanders,,365,304,531,57.3,3033,5.7,10,19,14,155,40,250,75
6,Bills,,397,281,495,56.8,3067,6.2,10.9,24,10,160,31,212,83
7,Eagles,,241,333,563,59.1,3094,5.5,9.3,18,15,160,56,348,74
8,Dolphins,,301,294,520,56.5,3102,6,10.6,20,21,162,47,327,70
9,Giants,,279,311,541,57.5,3119,5.8,10,17,11,162,37,250,76
10,Texans,,356,281,512,54.9,3141,6.1,11.2,23,10,155,35,237,80
11,Patriots,,346,314,531,59.1,3179,6,10.1,23,18,158,34,199,77
12,Rams,,369,292,461,63.3,3209,7,11,15,12,148,38,240,84
13,Bengals,,456,287,454,63.2,3262,7.2,11.4,30,9,182,24,153,98
14,Jaguars,,315,314,519,60.5,3264,6.3,10.4,19,14,188,36,224,80
15,Browns,,320,299,513,58.3,3269,6.4,10.9,20,17,164,28,172,76
16,Falcons,,314,285,514,55.4,3287,6.4,11.5,23,24,171,47,298,70
17,Broncos,,344,360,566,63.6,3337,5.9,9.3,15,9,176,40,251,82
18,Seahawks,,369,321,555,57.8,3411,6.1,10.6,21,19,191,28,185,74
19,Cowboys,,329,334,574,58.2,3449,6,10.3,22,19,178,24,137,75
20,Steelers,,345,336,573,58.6,3460,6,10.3,19,19,178,50,313,73
21,Jets,,336,359,551,65.2,3490,6.3,9.7,17,15,178,30,195,82
22,49ers,,351,340,552,61.6,3506,6.4,10.3,23,19,188,32,195,79
23,Raiders,,304,346,570,60.7,3526,6.2,10.2,21,21,189,43,261,75
24,Bears,,379,335,547,61.2,3530,6.5,10.5,24,9,185,35,252,88
25,Titans,,324,339,562,60.3,3540,6.3,10.4,27,18,197,40,213,81
26,Ravens,,354,360,573,62.8,3591,6.3,10,16,25,190,33,232,72
27,Saints,,388,343,593,57.8,3805,6.4,11.1,25,20,191,39,253,77
28,Cardinals,,417,335,535,62.6,3874,7.2,11.6,29,17,196,21,131,89
29,Vikings,,442,335,542,61.8,4103,7.6,12.2,33,16,198,27,197,93
30,Lions,,451,371,591,62.8,4150,7,11.2,27,10,221,33,254,92
31,Chiefs,,399,403,616,65.4,4181,6.8,10.4,27,18,227,34,215,87
32,Chargers,,367,375,607,61.8,4295,7.1,11.5,26,17,205,39,231,86
