#,TEAM,PTS/G,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
,Falcons,21.9,351,531,2546,4.8,17,139,30:25
2,Broncos,24.7,395,542,2539,4.7,25,145,33:40
3,Seahawks,28.2,452,519,2457,4.7,29,142,30:50
4,Chiefs,25.2,403,520,2382,4.6,26,138,32:09
5,Steelers,24.3,389,549,2223,4,21,120,32:44
6,Giants,26.4,422,469,2209,4.7,17,106,31:18
7,Commanders,22.4,359,525,2183,4.2,15,114,32:45
8,Bears,16.2,260,488,2099,4.3,11,99,29:52
9,Chargers,26.1,418,465,2072,4.5,22,116,32:35
10,Jaguars,22.6,361,502,1959,3.9,18,97,32:52
11,Bengals,26.3,421,459,1910,4.2,15,109,31:52
12,Dolphins,19.9,318,444,1898,4.3,11,93,27:25
13,Cowboys,20.3,325,521,1861,3.6,13,97,33:34
14,Buccaneers,18.8,300,457,1826,4,13,83,31:13
15,Texans,16.2,260,437,1816,4.2,9,89,29:41
16,Colts,27.4,439,465,1703,3.7,18,116,30:22
17,49ers,14.9,239,428,1689,3.9,10,70,28:37
18,Saints,14.7,235,423,1688,4,8,89,31:32
19,Panthers,24.4,391,487,1679,3.4,17,82,31:48
20,Bills,16.9,271,428,1607,3.8,6,96,29:04
21,Ravens,16.6,265,452,1605,3.6,5,97,31:42
22,Rams,22.7,363,380,1535,4,13,82,30:26
23,Titans,18.7,299,397,1525,3.8,8,72,31:13
24,Patriots,23.7,379,439,1512,3.4,16,101,30:19
25,Browns,14.5,232,395,1503,3.8,4,76,28:00
26,Lions,15.9,254,404,1471,3.6,10,69,30:34
27,Vikings,19.1,306,381,1467,3.9,10,83,29:46
28,Eagles,19.4,310,365,1432,3.9,11,73,29:41
29,Raiders,18.1,290,361,1369,3.8,11,80,28:07
30,Packers,18.6,298,398,1352,3.4,11,76,31:58
31,Jets,15,240,384,1328,3.5,10,74,27:47
32,Cardinals,19.4,311,360,1138,3.2,2,58,31:20
