#,TEAM,,TOTAL PTS,ATT,YDS,YDS/ATT,TD,1ST,TOP
1,Cowboys,,306,340,1336,3.9,9,79,29:32
2,Titans,,378,356,1414,4,10,70,29:28
3,Patriots,,250,368,1417,3.9,6,81,29:47
4,Giants,,284,397,1417,3.6,10,82,32:41
5,Ravens,,321,384,1430,3.7,10,74,29:14
6,Panthers,,402,375,1464,3.9,11,90,29:10
7,Seahawks,,292,441,1487,3.4,17,94,31:53
8,Packers,,388,376,1515,4,11,80,29:46
9,Cardinals,,362,424,1518,3.6,16,90,30:03
10,Chargers,,423,410,1567,3.8,20,98,30:08
11,Jets,,409,428,1581,3.7,11,86,30:43
12,Texans,,328,397,1595,4,13,87,29:52
13,Steelers,,327,369,1600,4.3,15,95,30:00
14,Saints,,454,396,1626,4.1,19,91,29:03
15,Eagles,,331,391,1652,4.2,10,89,28:56
16,Rams,,394,424,1660,3.9,12,91,31:39
17,Falcons,,406,369,1675,4.5,15,95,30:00
18,Lions,,358,389,1701,4.4,8,99,30:18
19,Jaguars,,400,446,1703,3.8,17,93,31:51
20,Vikings,,307,404,1711,4.2,9,87,30:49
21,Bengals,,315,412,1812,4.4,12,95,31:36
22,Buccaneers,,369,427,1875,4.4,15,102,30:52
23,Raiders,,385,421,1882,4.5,18,94,29:06
24,Commanders,,383,423,1916,4.5,19,109,31:51
25,Colts,,392,409,1926,4.7,12,93,30:34
26,Chiefs,,311,437,1939,4.4,10,102,31:39
27,Bears,,399,445,1950,4.4,18,99,32:53
28,Broncos,,297,482,2085,4.3,15,101,32:53
29,Bills,,378,468,2130,4.6,21,122,31:06
30,Dolphins,,380,464,2247,4.8,12,109,32:18
31,Browns,,452,498,2283,4.6,18,121,33:54
32,49ers,,480,548,2653,4.8,25,140,33:28
