#,TEAM,PTS/G,TOTAL PTS,COMP,ATT,PCT,YDS,YDS/ATT,YDS/COMP,TD,INT,1ST,SACKS,SACK YDS,QB RATING
1,Chiefs,29.2,496,435,651,66.8,5062,7.8,11.6,41,12,272,26,,103
2,Buccaneers,18.4,313,499,751,66.4,4586,6.1,9.2,26,10,240,22,,89
3,Chargers,23,391,485,711,68.2,4584,6.4,9.5,26,10,232,39,,92
4,Dolphins,23.4,397,368,584,63,4511,7.7,12.3,30,15,220,35,,93
5,Vikings,24.9,424,448,672,66.7,4484,6.7,10,30,15,244,47,,91
6,Lions,26.6,453,383,588,65.1,4281,7.3,11.2,29,7,228,24,,98
7,Bengals,26.1,418,418,610,68.5,4240,7,10.1,35,12,221,44,,99
8,Bills,28.4,455,361,574,62.9,4129,7.2,11.4,35,14,212,33,,95
9,Eagles,28.1,477,350,536,65.3,4105,7.7,11.7,25,9,195,44,,97
10,Jaguars,23.8,404,394,596,66.1,3959,6.6,10,25,9,208,28,,93
11,Raiders,23.2,395,359,586,61.3,3934,6.7,11,28,17,193,35,,85
12,Seahawks,23.9,407,399,573,69.6,3934,6.9,9.9,30,12,206,46,,97
13,49ers,26.5,450,338,512,66,3856,7.5,11.4,30,9,188,31,,101
14,Cowboys,27.5,467,355,556,63.8,3736,6.7,10.5,28,18,194,27,,87
15,Jets,17.4,296,357,627,56.9,3723,5.9,10.4,15,14,191,42,,73
16,Saints,19.4,330,338,512,66,3692,7.2,10.9,24,14,181,38,,91
17,Packers,21.8,370,364,563,64.7,3632,6.5,10,27,12,186,32,,90
18,Cardinals,20,340,433,664,65.2,3626,5.5,8.4,17,17,189,46,,77
19,Broncos,16.9,287,345,571,60.4,3592,6.3,10.4,18,15,166,63,,78
20,Patriots,21.4,364,358,540,66.3,3536,6.5,9.9,19,14,166,41,,86
21,Commanders,18.9,321,344,554,62.1,3472,6.3,10.1,24,16,184,48,,82
22,Browns,21.2,361,335,540,62,3444,6.4,10.3,19,12,182,44,,83
23,Colts,17,289,398,604,65.9,3432,5.7,8.6,17,20,193,60,,76
24,Steelers,18.1,308,364,571,63.7,3411,6,9.4,12,14,189,38,,77
25,Texans,17,289,352,579,60.8,3344,5.8,9.5,20,19,159,38,,75
26,Giants,21.5,365,346,520,66.5,3157,6.1,9.1,17,6,170,49,,89
27,Rams,18.1,307,347,531,65.3,3108,5.9,9,16,15,181,59,,79
28,Ravens,20.6,350,300,488,61.5,3040,6.2,10.1,19,13,149,38,,81
29,Panthers,20.4,347,267,457,58.4,2996,6.6,11.2,16,13,138,36,,78
30,Titans,17.5,298,285,456,62.5,2914,6.4,10.2,16,11,153,49,,82
31,Falcons,21.5,365,257,415,61.9,2699,6.5,10.5,17,9,148,37,,85
32,Bears,19.2,326,223,377,59.2,2219,5.9,10,19,15,109,58,,76
