Start Year,End Year,Scaling,Regularization,Alpha,Features Removed,MSE,R-Squared,Accuracy,Model Name
2023,2023,False,lasso,100.0,True,81.70408032328767,0.16479861036889953,67.72,model_2023_2023_unscaled_lasso_100_features_removed
2022,2023,False,lasso,100.0,True,81.70408032328767,0.16479861036889953,67.72,model_2022_2023_unscaled_lasso_100_features_removed
2019,2023,False,lasso,100.0,True,81.70408032328767,0.16479861036889953,67.72,model_2019_2023_unscaled_lasso_100_features_removed
2014,2023,False,lasso,100.0,True,81.70408032328767,0.16479861036889953,67.72,model_2014_2023_unscaled_lasso_100_features_removed
2023,2023,False,lasso,100.0,False,81.70417233141112,0.16479766983677113,67.72,model_2023_2023_unscaled_lasso_100_features_included
2022,2023,False,lasso,100.0,False,81.70417233141112,0.16479766983677113,67.72,model_2022_2023_unscaled_lasso_100_features_included
2019,2023,False,lasso,100.0,False,81.70417233141112,0.16479766983677113,67.72,model_2019_2023_unscaled_lasso_100_features_included
2014,2023,False,lasso,100.0,False,81.70417233141112,0.16479766983677113,67.72,model_2014_2023_unscaled_lasso_100_features_included
2023,2023,True,elasticnet,1.0,True,82.16847807030302,0.1600514099584175,67.37,model_2023_2023_scaled_elasticnet_1_features_removed
2022,2023,True,elasticnet,1.0,True,82.16847807030302,0.1600514099584175,67.37,model_2022_2023_scaled_elasticnet_1_features_removed
2019,2023,True,elasticnet,1.0,True,82.16847807030302,0.1600514099584175,67.37,model_2019_2023_scaled_elasticnet_1_features_removed
2014,2023,True,elasticnet,1.0,True,82.16847807030302,0.1600514099584175,67.37,model_2014_2023_scaled_elasticnet_1_features_removed
2023,2023,True,ridge,100.0,True,84.64848523496421,0.13470010042743263,66.67,model_2023_2023_scaled_ridge_100_features_removed
2022,2023,True,ridge,100.0,True,84.64848523496421,0.13470010042743263,66.67,model_2022_2023_scaled_ridge_100_features_removed
2019,2023,True,ridge,100.0,True,84.64848523496421,0.13470010042743263,66.67,model_2019_2023_scaled_ridge_100_features_removed
2014,2023,True,ridge,100.0,True,84.64848523496421,0.13470010042743263,66.67,model_2014_2023_scaled_ridge_100_features_removed
2023,2023,False,lasso,10.0,True,79.91841768588037,0.18305214079570042,65.96,model_2023_2023_unscaled_lasso_10_features_removed
2022,2023,False,lasso,10.0,True,79.91841768588037,0.18305214079570042,65.96,model_2022_2023_unscaled_lasso_10_features_removed
2019,2023,False,lasso,10.0,True,79.91841768588037,0.18305214079570042,65.96,model_2019_2023_unscaled_lasso_10_features_removed
2014,2023,False,lasso,10.0,True,79.91841768588037,0.18305214079570042,65.96,model_2014_2023_unscaled_lasso_10_features_removed
2023,2023,False,elasticnet,10.0,True,80.81100822396506,0.1739278369074475,65.96,model_2023_2023_unscaled_elasticnet_10_features_removed
2022,2023,False,elasticnet,10.0,True,80.81100822396506,0.1739278369074475,65.96,model_2022_2023_unscaled_elasticnet_10_features_removed
2019,2023,False,elasticnet,10.0,True,80.81100822396506,0.1739278369074475,65.96,model_2019_2023_unscaled_elasticnet_10_features_removed
2014,2023,False,elasticnet,10.0,True,80.81100822396506,0.1739278369074475,65.96,model_2014_2023_unscaled_elasticnet_10_features_removed
2023,2023,False,elasticnet,100.0,True,78.99326877306902,0.1925092652690238,65.61,model_2023_2023_unscaled_elasticnet_100_features_removed
2022,2023,False,elasticnet,100.0,True,78.99326877306902,0.1925092652690238,65.61,model_2022_2023_unscaled_elasticnet_100_features_removed
2019,2023,False,elasticnet,100.0,True,78.99326877306902,0.1925092652690238,65.61,model_2019_2023_unscaled_elasticnet_100_features_removed
