is_home,Offense_Passing_COMP,Offense_Passing_ATT,Offense_Passing_PCT,Offense_Passing_YDS,Offense_Passing_YDS/ATT,Offense_Passing_YDS/COMP,Offense_Passing_TD,Offense_Passing_INT,Offense_Passing_1ST,Offense_Passing_SACKS,Offense_Passing_QB RATING,Offense_Rushing_ATT,Offense_Rushing_YDS,Offense_Rushing_YDS/ATT,Offense_Rushing_TD,Offense_Rushing_1ST,Offense_Rushing_TOP,Defense_Passing_TOTAL PTS,Defense_Passing_COMP,Defense_Passing_ATT,Defense_Passing_PCT,Defense_Passing_YDS,Defense_Passing_YDS/ATT,Defense_Passing_YDS/COMP,Defense_Passing_TD,Defense_Passing_INT,Defense_Passing_1ST,Defense_Passing_SACKS,Defense_Passing_SACK YDS,Defense_Passing_QB RATING,Defense_Rushing_TOTAL PTS,Defense_Rushing_ATT,Defense_Rushing_YDS,Defense_Rushing_YDS/ATT,Defense_Rushing_TD,Defense_Rushing_1ST,Defense_Rushing_TOP,game_id,team_score
1,421,635,66.3,4188,6.6,9.9,28,17,216,28,88,417,1784,4.3,9,107,1828,395,371,588,63.1,4205,7.2,11.3,28,16,209,41,357,89,395,408,1509,3.7,15,91,1793,2023_01_DET_KC,20
0,408,606,67.3,4401,7.3,10.8,30,12,228,31,97,500,2311,4.6,27,124,1882,294,340,556,61.2,3001,5.4,8.8,19,8,169,57,351,81,294,432,1925,4.5,10,107,1832,2023_01_DET_KC,21
1,327,530,61.7,3524,6.6,10.8,17,17,181,40,79,522,2159,4.1,14,121,1749,416,309,481,64.2,2916,6.1,9.4,19,8,162,27,193,87,416,508,2081,4.1,25,122,1793,2023_01_CAR_ATL,24
0,350,586,59.7,2741,4.7,7.8,13,10,150,65,72,445,1769,4.0,7,111,1867,373,340,549,61.9,3449,6.3,10.1,24,8,183,42,258,88,373,499,2009,4.0,11,105,1911,2023_01_CAR_ATL,10
1,328,494,66.4,3635,7.4,11.1,27,7,180,41,100,541,2661,4.9,26,144,1873,353,382,565,67.6,3979,7.0,10.4,17,14,185,46,355,87,353,468,1643,3.5,19,110,1910,2023_01_HOU_BAL,25
0,372,592,62.8,4173,7.0,11.2,27,8,215,47,93,444,1647,3.7,10,84,1846,280,384,634,60.6,3263,5.1,8.5,18,18,175,60,454,72,280,415,1860,4.5,6,96,1767,2023_01_HOU_BAL,9
1,355,624,56.9,3693,5.9,10.4,24,23,173,45,72,518,2017,3.9,15,121,1939,384,364,555,65.6,4223,7.6,11.6,23,17,201,44,257,89,384,456,2145,4.7,17,127,1857,2023_01_CIN_CLE,24
0,420,615,68.3,3895,6.3,9.3,27,14,208,50,91,383,1527,4.0,12,90,1917,362,307,535,57.4,2800,5.2,9.1,23,18,136,49,349,72,362,420,1793,4.3,15,87,1721,2023_01_CIN_CLE,3
1,355,574,61.8,3666,6.4,10.3,18,10,178,41,83,479,2059,4.3,19,113,1768,371,404,617,65.5,4076,6.6,10.1,27,16,198,40,279,88,371,421,1752,4.2,15,99,1834,2023_01_JAX_IND,21
0,412,620,66.5,4126,6.7,10.0,22,14,199,41,88,453,1646,3.6,17,98,1915,415,370,568,65.1,3842,6.8,10.4,21,15,192,51,315,86,415,518,2105,4.1,22,123,1964,2023_01_JAX_IND,31
